business_id,name,postal_code,latitude,longitude,stars,review_count,is_open
mGFsPRHdE6SMV1gYQ6GzgQ,T-Mobile,19803,39.822176,-75.546007,2.0,6.0,1
LcAozWCMLGjwRbokaJAKMg,Edwardsville Children's Museum,62025,38.8043945,-89.9497332,4.5,12.0,1
fSCNwMtNNQY9QT69Cj9fiA,Sierra Pro Events,89431,39.5401545,-119.7483949,5.0,7.0,1
x1mhq4IpWctQOBM06dU8vg,Diamond Hair Company,46224,39.7874644177,-86.2514209,1.5,25.0,1
ljxNT9p0y7YMPx0fcNBGig,Tony's Restaurant & 3rd Street Cafe,62002,38.896563,-90.1862032987,3.0,94.0,1
lwItZ1Ck3KtpCgG4CPFmpQ,Stomel Elliot Attorney-At-Law,08002,39.915478,-75.016973,5.0,5.0,1
Kq51_lGAgAigqmENITTr-A,Bala Better Health,19004,40.00687,-75.217262,4.0,13.0,1
mglME3E7esPSpIF5bias8w,Pier 1,19064,39.9152704301,-75.3426812589,2.5,8.0,0
wghnIlMb_i5U46HMBGx9ig,China Dragon Restaurant,85746,32.1323047,-110.9999851,3.0,23.0,0
JX4tUpd09YFchLBuI43lGw,Naked Cyber Cafe & Espresso Bar,T5J 1L7,53.5446819,-113.506589,4.0,12.0,1
lk9IwjZXqUMqqOhM774DtQ,Caviar & Bananas,37203,36.1483712,-86.7988947,3.5,159.0,0
bCBPXIVfVzBZBEpFu29dcg,All In Shipping,62226,38.5175856,-90.0219285,5.0,5.0,1
ABxoFuzZy5mqQ8C5FJJajQ,Core de Roma,19004,40.0283575,-75.2380841,5.0,12.0,1
Hwt3_mOEmU-t--ywcemnMg,Gold's Gym,33704,27.8083394,-82.6361678,3.0,17.0,0
REwfwz-_-CMQ7Np5UVi9Qg,Jennie Deckert,46032,39.9693,-86.1650024,5.0,7.0,1
5BmQX4UVJY19mMtafMg7JA,Breadland Organic Whole Grain Bakery,T5K 2T7,53.547205,-113.522448,4.0,23.0,1
cVBxfMC4lp3DnocjYA3FHQ,Paws The Cat Cafe,T5H 3B2,53.549633299999996,-113.5087799,5.0,20.0,0
0qNpTGTcqPwOLi2hADx4Xw,Charlie's Market,33610,28.0103596,-82.4300416,3.0,9.0,1
xM6LoUcnpDpMBzXs_7dXAg,Fairfield Inn & Suites,19348,39.8562475317,-75.6946098804,3.0,37.0,1
txyXRytGjwOXvS8s4sc-WA,Smoothie King,85713,32.186794,-110.954765,3.0,29.0,1
DQ7PyYlp2bX96WZa7TcaWQ,LensCrafters,19462,40.1161788,-75.2825254,2.5,8.0,1
uI9XODGY_2_ieTE6xJ0myw,Roman Forum,33618,28.0462028173,-82.5050526736,4.0,23.0,0
JgpnXv_0XhV3SfbfB50nxw,Joe's Pizza,33607,27.9605142,-82.506127,4.0,35.0,0
Si6LXSR9gvAbmgO5DzV2cw,Lafitte's Landing Seafood House,70058,29.8754822266,-90.04938,2.5,38.0,0
seKihQKpGGnCeLuELRQPSQ,Twin Peaks,46250,39.9062952,-86.0474634,3.5,257.0,1
L_TT0BFmFwORAMaA83K54A,Village Tap Room,46220,39.8699114,-86.1435773,2.5,23.0,0
mjWvAkNqoA6Y5P03sDSzfA,Educational Outfitters,33614,27.9954501644,-82.5081187,2.0,10.0,1
qfWJmJ0g96eM_fWma3ja0g,Doc Magrogan's Oyster House - West Chester,19380,39.9615417,-75.6036042,3.0,114.0,0
uczmbBk5O3tYhGue13dCDg,New Orleans Spirit Tours,70130,29.958431,-90.065173,4.0,38.0,1
n7AQvGvNHlmun3kqXeBKVQ,Roy's Appliance Service,83646,43.6434944,-116.4360004,5.0,5.0,1
eYxGFkxo6m3SYGVTh5m2nQ,Big Boyz Toyz Motorcycle Rentals,85712,32.2503237,-110.9036553,4.5,8.0,1
lOP3HxdUTaq0eXhwR_KC-w,Sweet Things Chocolates,46260,39.913292,-86.20083,4.0,13.0,1
KWA2qtdwVEkMpd5soSKaGA,Publix Super Market,34667,28.3326007,-82.6681066,3.5,7.0,0
gbN4RuUiiBxQ2GBFQ2p3Cw,Mr. Margarita,89408,39.5139704538,-119.8472038094,5.0,7.0,1
B2qqjCl_BNNnXvWWfpFiLA,Pottery Barn Kids,37215,36.1036135,-86.8162678,1.5,13.0,1
7PDi_iyik3jraDAzWwwR4Q,Chase JP Morgan Bank Credit Card Services,19850,39.749361,-75.643331,1.5,111.0,1
8rb-3VYXE37IZix4yOdskw,Sharky's Sports Bar & Grill,08094,39.6968014,-74.9998214,2.5,29.0,1
9Rww8yE6Dm4dSMEq09nwXg,Holly Nails & Spa,33782,27.8553467494,-82.7363080904,4.5,16.0,1
aCDY7vXYMs54EbYuQScsnQ,39 North Taproom & Grill,19036,39.9036968861,-75.2949812448,4.5,25.0,1
-4dYswJy7SPcbcERvitmIg,Pathmark,19146,39.9404026,-75.1932966,2.5,34.0,0
mFTaYsRDyeFaY2NDLfSaAA,River City Games,T6E 5B7,53.4893123495,-113.4855665582,4.5,5.0,1
x9K0RfZaT_zlw6DklBDzjw,Gavi Italian Restaurant,85707,32.221667,-110.925833,3.5,9.0,0
pJfh3Ct8iL58NZa8ta-a5w,Top Shelf Sports Lounge,33544,28.1962523878,-82.3806153496,4.5,95.0,1
cvP_vh_bOLbCY3eoY1Xw-A,Fishers Freedom Festival,46038,39.958734,-86.016966,4.5,7.0,0
7clCBgNbd-x2Wj96lZ6Mjw,Bier Brewery and Tap Room,46220,39.8755319,-86.0828565,4.5,139.0,1
ppFCk9aQkM338Rgwpl2F5A,Wawa,19104,39.954573,-75.1948936,3.0,56.0,1
NZ_bFJma7brQUfln5h1UAg,Super Sushi Kyo Hin,08016,40.0416285,-74.8258209,3.5,6.0,0
eMjnw_7wp-CscyNh6Lu0ZA,AM&PM Locksmith,19152,40.0723302045,-75.0484833435,4.5,58.0,1
IDtLPgUrqorrpqSLdfMhZQ,Helena Avenue Bakery,93101,34.4144445,-119.6906718,4.0,389.0,1
sE6jSnvMts_MAn-b4OkMAw,K-9 Groom Room,62294,38.7162443,-89.8858296,4.0,5.0,1
YNjyv0gfOr2g8lbmUpTnKg,Copper Vine,70112,29.9506467229,-90.0744274301,4.5,350.0,1
LhpPSrulqVeTyJeK2xydvQ,Fresh Fruits & Salads,08102,39.9466899,-75.123327,4.5,6.0,1
oaboaRBUgGjbo2kfUIKDLQ,Mike's Ice Cream,37201,36.1626492,-86.7759733,4.5,593.0,1
-ZXYcCyDjj1QimnJyGtYtg,Gilley's Antique Mall,46168,39.6949931921,-86.4230714504,4.5,24.0,1
nUqrF-h9S7myCcvNDecOvw,Iron Horse Auto Body,93103,34.4196198,-119.6770319,4.5,32.0,1
vR9_bhoszcpXbB_APv6Xlw,James Dant,46219,39.7709745063,-86.0711718384,5.0,31.0,1
RK6-cJ9hj53RzOlCBmpT-g,Impasto,33611,27.890814,-82.5023464,5.0,5.0,1
ZM46RDLXaFNo_z6t-j_L4w,Absolutely Perfect Inc,19020,40.1131212,-74.9145975,3.5,5.0,1
pEm4xNCk8d0TF6A1gi-WDQ,TKO DJs,63143,38.6135761,-90.3223828,3.5,17.0,1
J_ksUDPpzPwfTGtI4zTRnQ,Riverview Room,70130,29.9559253,-90.0629624,4.5,7.0,1
knQ4vIgx-r85kjlWVVjcpQ,Silver and Blue Outfitters,89502,39.476518,-119.7840369,4.5,5.0,1
U2Tzy6J9aAAg9pzXsgdkvg,Premier Mortgage Resources,83642,43.6141936,-116.3525001,5.0,6.0,1
1MeIwdbTnZOBFCKOrgaxuw,Ricardo's Italian Cafe,63104,38.6172724,-90.2127841,3.5,80.0,0
8KMIT0NXu30Jz5Ojo5uxaw,Cornerstone Physical Therapy Associates,19020,40.0722036,-74.9644197,5.0,6.0,1
jiLGdnf42eYftkqfU2ze1w,Saks Fifth Avenue,46240,39.913836,-86.1079073,3.5,29.0,1
EuRGgOwJ0g1vTj2R04j37Q,Crafty Crab,62208,38.6012982,-89.9896835,2.5,14.0,1
TLZ3-eDPLhUzfsWO4ad6Ug,Mahony's Po-Boys & Seafood,70112,29.9554151,-90.0700619,4.0,382.0,1
Dy91wdWkwtI_qgjAIZ0Niw,Taqueria Los Primos,19808,39.7320886,-75.6256733,4.0,23.0,1
2Bi3ef7c0CrLxHD_-yy_tw,AIM Mail Center,85755,32.4263727,-110.95924049999999,3.0,13.0,1
vje0KIiE7vtpx7JzmBx5LQ,The Pearl,33706,27.7694046,-82.767317,4.0,129.0,1
2n9HHBxG7yAyAUwXXa49aw,Mighty Dustless,18966,40.1690207,-75.0093159,4.0,5.0,1
kK2i5Xyd9SOpF5pCFilbcg,Swat Pest Control,18914,40.2844964,-75.207999,4.5,7.0,1
I6DCYks9lqZeoZiVzW7PmA,Its Sold Here,19090,40.1428489,-75.1143791,1.5,10.0,1
VrGxoSNZfSiT-G4OqRRGIw,Sunset 44 Bistro,63122,38.5832229,-90.4071872,4.0,73.0,1
H0NEOp4e3Zu598u6kO3y0g,America's Best Contacts & Eyeglasses,08043,39.824552,-74.929032,3.5,17.0,1
sB45WFgysT617bKWP_WJwA,Budweiser Brewery Experience,63118,38.6001971,-90.2135377,4.5,605.0,1
Fk1xpM7fjqEJ4paqk5ZFSg,Jamba Juice,83713,43.6478323,-116.3520706,3.0,19.0,0
4dVrWc4Nhuw9apfk9BWEcA,Walmart Supercenter,34689,28.1477204,-82.7425681,2.0,29.0,1
xfmkEGiIERBaBMLhw-dTCg,Walmart Vision & Glasses,19148,39.9198090864,-75.157802746,4.5,6.0,1
NTf_U8kYu9PAE2cZGJqtJg,Mirror Lake Community Library,33701,27.7747314,-82.6402836,3.5,6.0,1
kk_oEw1j3xQ-cJaAII8A0Q,Giant Food Store,19422,40.1490655,-75.3060284,3.0,29.0,1
RXpADfOCZBGi82-CGxYdsw,Monogram Express,70002,30.0032388544,-90.146487573,4.5,8.0,1
qFX8IdomeBVhDPCSyz2aRg,Nashville Delivers,37027,36.002397,-86.7023814,3.5,7.0,1
bYjnX_J1bHZob10DoSFkqQ,Tinkle Belle Diaper Service,93101,34.420334,-119.7107494,5.0,17.0,1
luGY5CJlb4CJ3LrBcSXMPA,Desert Design Center,85712,32.2358661,-110.9036755,3.0,5.0,1
VZzivJEbmHItOxNXJB3SpA,Subway,37027,36.0263631408,-86.7894728157,2.5,14.0,1
iPSPcprSnkLOuL1Ns8UZZA,Pete's Barber Shop,19121,39.9748805,-75.1832618,4.5,12.0,1
Q3kQYhkYxSRyYyeBgtk--A,Cook's Glass & Mirror,46241,39.7500892,-86.2575225,5.0,5.0,1
wEfK2HIYNzkA1QYfUjHBaw,Leslie's,85710,32.2215422,-110.8221011,2.5,15.0,1
anLQj9AM8vjbcLSIE0iUgg,Papa Murphy's,85741,32.3385723,-111.0107602,4.0,22.0,1
BVo_36t3z7vfXp3XGgJkOg,Sears Auto Center,70006,30.0042804,-90.1813221,1.5,37.0,0
P8brGDYVWjeW9GrKixH0yQ,Laser Spine Institute,33607,27.9586132,-82.5325949,3.0,36.0,0
Cdytv_YhJO0W0Ab8t2xLtg,Nipper's Pub,08096,39.8444681,-75.1248703,3.5,29.0,1
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,19130,39.963077709,-75.1680274529,3.0,137.0,1
FRYkg_JvsWU9xIXZsEZcVA,Altamura,70115,29.9333877563,-90.079498291,3.5,27.0,0
9C2rpb56aQvW0ViZHK9sPw,Home Plate Sports Pub,85711,32.206315,-110.887843,3.5,56.0,1
k0yyD71s2F2eEKWRdkZ6jA,Cold Stone Creamery,46231,39.7628744,-86.3257127,3.0,19.0,1
dM5OKNzk9AL2aiq-fV-SYg,Walmart Supercenter,46112,39.8591499,-86.3964221,1.5,14.0,1
qdYfHRsZdcz4Bun4f9Ijaw,Norristown Car Wash,19401,40.140914,-75.3123146,2.0,8.0,1
Y6t4pnKm5LF8y5ChHA27ow,Meineke Car Care Center,34639,28.1961683557,-82.464425454,4.5,27.0,1
E_kLUlU60fzoZYAOxbH_3w,Pain Institute of Southern Arizona,85718,32.2891826,-110.9572299,2.5,43.0,1
txiXR1YfMyk-5S4ZzOVIhQ,Advance Financial,37214,36.1676590439,-86.6582959,2.0,7.0,1
0vCsslN-TYnDeOSNT4rIfg,Whole Foods Market,46032,39.999084,-86.131076,3.5,44.0,1
zFvqulgAYOpSG2t1v8AZ-w,The Cake Drip,33606,27.935753,-82.4764699,4.0,40.0,1
SZU9c8V2GuREDN5KgyHFJw,Santa Barbara Shellfish Company,93101,34.4087147,-119.6850187,4.0,2404.0,1
GWGXTKR0Fhdvzf_isDqJug,"David Gower, Jr.  - Coldwell Banker Preferred",19106,39.9490268625,-75.1471895999,5.0,17.0,1
-aeZuatjCDMV1X4gCTz9Ug,David Thomas Trailways,19154,40.1064092,-74.9739371,4.5,6.0,1
PYW8Buz8S8LpjIe6mZTAcw,Payless Liquors,46143,39.632279734,-86.158674289,3.5,13.0,1
Lx8ZYUJ_-3Aa8N821mN1WQ,ALM Kainan,89434,39.5371788,-119.7355322,4.0,13.0,0
M_THnNDHs29aylcK-JqS1A,Professional Healthcare of Pinellas,33713,27.7713566,-82.6586115,1.5,6.0,1
uCQqtYW_xc1EJRm7NyakdA,Yogurt Beach,89595,39.523904,-119.777525,4.5,12.0,1
9LLxOjEhLNcdx8i4lL6EUQ,Banfield Pet Hospital,46227,39.6531323637,-86.135859,2.0,10.0,1
h-y5azB-VlQAT3m7Ff2g2Q,P's & Q's - Premium Quality,19147,39.942515,-75.156468,5.0,16.0,1
XHTgtBSwLnwRHzKSbea2Fg,Michael Kors,46240,39.914404,-86.107287,4.0,6.0,1
WYYdQDjx-DsCanlP0DpImQ,J Sushi,19107,39.9470334,-75.1574339,4.5,72.0,0
U2htB9qk4hOXCdkccvvW0Q,D's Toys,46225,39.7291579,-86.1544775,5.0,5.0,1
aNtKyc2rr-uK5cqzY9TVQQ,Chipotle Mexican Grill,33771,27.894167,-82.779866,3.0,19.0,1
yv6kSKxDdZTsvHL25K-U2g,Nash Painting,37203,36.142642,-86.7708619,4.5,45.0,1
hUQ9Z7kQeabvhPOAQOVV1A,Rathbone Mansions,70116,29.9670548,-90.0658282,3.5,67.0,1
t5tBd4p7BA7hNDitBUXxrw,Boise Therapeutic Massage Center,83704,43.6119488,-116.2711098,4.0,68.0,1
oCFcoyGx2VRZ8MHXEsV8tQ,Giant Food Store,19015,39.877374,-75.394007,2.5,10.0,0
FC6ef4rMMZKNov_-A9M6iQ,TD Bank Havertown,19083,39.985661,-75.3148439,1.5,6.0,1
X_E7U2lVNEwbH_gpOBmAHQ,Cerveza Jack's,37201,36.162799,-86.776016,4.0,182.0,1
EYA514FX4H8MwvFjv2ORQA,Carsmetics,33762,27.8931855254,-82.6876049487,4.5,30.0,1
G4lRmwDHdvhZAhmtlsYYBw,Wendy's,37204,36.112075744,-86.7674462724,1.5,37.0,1
DTUfAthScapCGnOnnLUhPA,Stitchers' Dream,19038,40.0978388,-75.1558378,3.5,9.0,0
DcUDIlxFsvqPvFh8_lb4Sw,Lott's Service,08057,39.973753,-74.995949,1.5,8.0,1
zs4d4DqSp5zh3HGFh-PiiQ,Something Special,37205,36.0982798,-86.8714149,2.5,21.0,1
BxhkoR6cscJwwex8gx31OA,Bar-B-Cutie,37115,36.296536,-86.700179,3.5,40.0,1
2oxrOO3c9_mQmqM9kwEm9Q,Total Access Urgent Care,63021,38.568086,-90.475388,3.5,6.0,1
Ms5xG8i4p80KSMcF3tt4ug,Sal DeForte's Ristorante,08628,40.2668877,-74.8056572,4.0,52.0,1
yswijv6wP2fKbMqAiEZ0vw,Reno Bighorns,89501,39.5309239,-119.8122604,5.0,6.0,0
m9ncuZp0nEVhIwu24G-HRw,CVS Pharmacy,46203,39.7371,-86.1391,2.5,10.0,1
QZU7TcrztBb3tXaPbVCkXg,805 Ink,93101,34.4241297,-119.7053211,4.5,68.0,1
l6VYP8AxIoW6U52aDo8fXg,HMV Superstore,T5T 4M2,53.5114948,-113.6450474,4.0,24.0,0
wMAxTyExktVtfyqKAfApbA,Tuffy Tire & Auto Service Center,33618,28.0458684582,-82.515059,4.0,16.0,1
E-nhxuu3zbt02oCj_1AFng,Selah,85705,32.2280919,-110.9698038,5.0,60.0,1
vvE3HVfxlx9UYctKPr0dbw,Inspired By Purpose Wellness Center & Yoga Studio,89502,39.5174106,-119.7783471,4.5,9.0,1
JnbSkfsl_j2dUoHncBTonA,Collision XS,62220,38.5022786,-90.00616971,4.5,6.0,1
5BYQP7i7ckUlgSzX4Yhnmw,A-1 Expert Cleaning Services,19055,40.1502639,-74.8448876,5.0,5.0,1
xAAhPuZ8FG6OlvAw5m1BVQ,Willard Park,46201,39.7667851,-86.12748,3.5,5.0,1
DfGNZQsCe9k2BxazCf0p6g,Reno Family Chiropractic,89512,39.5576887,-119.791299,4.5,19.0,1
07JLsUInZr5OSiYH2XVi4g,Elegance African Hair Braiding,19131,39.9690954,-75.2255953,2.0,8.0,1
hPAmGKnDqummngSTOJN_8g,Timber Creek Park,08012,39.831468,-75.058986,4.5,86.0,1
ORL4JE6tz3rJxVqkdKfegA,Gaylord Opryland Resort & Convention Center,37214,36.2115923083,-86.6943191727,3.0,1639.0,1
1GnJDrpp-jyDRCptavD9RQ,Rita's Italian Ice,19014,39.8649175,-75.4275762,4.0,7.0,1
jkY8aotwcAlSHCgoZrF49w,Bay Area Appliance,33770,27.9251193,-82.7959877,1.0,5.0,0
YD_eZ4TaFrHYRrJVzOXHfw,Passport Health,63117,38.6361966,-90.3457542,1.5,11.0,1
P10BsKUeoeCeVoK4BS2u0w,Trust Me BBQ,33569,27.8652573,-82.3260903,4.0,29.0,0
7Du9oW73YcYFmXdtU5aiSg,Kinjo's Japanese Restaurant,33710,27.7972626,-82.7339127,3.5,17.0,0
h_qlv6CIXGVurFOhFQ945w,Tim Hortons,T5S 2X1,53.5599789914,-113.6162690363,3.5,6.0,1
QjV4v7q_pt7tt3K1US7IHg,PDQ Temple Terrace,33617,28.0548882706,-82.3995484,3.0,5.0,1
LGqiubTmpJ-A1L5n7dmc6g,Domino's Pizza,70058,29.8753202,-90.045817,1.5,14.0,0
FTFtoylMzkrzqNVSl-bkKw,Giant Food Stores,19103,39.9565280024,-75.178013742,4.0,19.0,1
59jkCUm4yHciKL1KW_1HJA,Roma Pizza & Italian Eatery,18976,40.2295269733,-75.1310898382,2.5,25.0,1
AzwiKZjVqHOxLaYtPAx8lA,Target,19095,40.076229,-75.155305,2.5,37.0,1
yM8LlTInbQH4FwWC97lz6w,McDonald's,63104,38.6124951839,-90.2219420671,1.5,100.0,1
tVdJ7CgBGAQ_nLomYXbB-Q,Cunningham Pest Control,19083,39.9727224,-75.3154587,5.0,5.0,1
x8KYhsxbufQiYIK-4MRzHQ,West Coast Roofing,85749,32.2104465,-110.9535711,2.0,13.0,1
3S9GYtMOYhbZl4MMPOHT0Q,The Handlebar Boise,83702,43.62001,-116.21279,4.5,34.0,1
znL4YrNbA2uwOQ3CchkmEA,Seaview Condominiums,33708,27.798503,-82.7987502,4.5,8.0,1
CtMEJxpVMlNzFpB4PtFjfA,Aussie Grill,33559,28.192191035,-82.396367,4.0,75.0,1
O1oZpbZNDMH_gz8DhsZCdA,Wendy's,19124,40.012141,-75.1150148,1.5,15.0,1
vPcfJ3rm3NpdqVDod2WxLA,China Pearl,19047,40.2177843,-74.9265858,1.5,27.0,1
HI4_NqeHMJOnMoVFNxaFyA,1-Hour Auto Glass,85742,32.3475108,-111.0165608,3.5,21.0,1
pmuuoDqNZp7518AUd-YmPA,Bagelicious - King Of Prussia,19406,40.1124813,-75.3799748,3.5,60.0,1
EDNYAyVc_WFhM3CD6QVD4A,Ottewell Animal Clinic,T6B 0P2,53.525585,-113.427076,4.0,13.0,1
tyJwgMRwo21wLUsga_RkQw,Blue Water Dental Care,89509,39.5062237,-119.8167371,4.0,10.0,1
2dlQX5sP9X6Dlm1MmNOlSw,ReAnimator Coffee,19125,39.9764555,-75.1270254,4.0,105.0,1
IYlUaKC9nICjiWdk-ShPlg,Bub's Cafe,46032,39.976614,-86.130124,4.0,175.0,0
8oi1Gm7XLyK31Y3N3Wp2Ig,A & A Complete Services,62285,38.3935,-90.0107,1.0,11.0,1
hdRtVNk-G9Ep4eaHPKXmfA,Carpet One Floor & Home,85737,32.4058647729,-110.949274038,4.0,7.0,1
tSFXJ0GFl5iUdy021YgWLw,The Mad Griddle,46201,39.781126,-86.1241235,5.0,7.0,1
UoKkgWmE9-c3wbWwO4VAVQ,Beaver Hill Condominium,19046,40.094306,-75.1352466,3.0,5.0,1
Nh1rc9aSeO-Y5lYmXVS6CA,Quality Inn Nashville Downtown - Stadium,37213,36.1688337591,-86.766910851,2.0,53.0,1
r_8FZXRkGoc5QNbTOAIftA,MDG Salon Studio,46204,39.7725103235,-86.1626825258,4.5,85.0,0
ZU6NodDOWaabGkeNpOWdXw,530 Pub & Grill,33755,27.9657471097,-82.7989008,4.5,6.0,1
LVYAXWQB3t7tdwWteyjfhw,Option 1 Barber Shop,33615,27.9987001903,-82.5822531301,4.0,16.0,0
mq5Z9X7yxgyApILQ11niNw,Wendy Warner- Medicine In Balance,19047,40.1884442241,-74.8773210502,3.0,7.0,1
X0V_PdBTS_SwNxMY2795ZA,Toys R Us,85711,32.2226061,-110.877255,3.5,12.0,0
ONUZertKOOImiyQG66Z7Tg,Zakian Rug Cleaning,19131,39.9791075,-75.2177555,3.5,26.0,1
ULReFPrCIDRbGKwP3ZsHwg,Eddie's Southtown Donuts,63109,38.5857552,-90.2768425,4.5,55.0,1
25Uww0C0wvF9CZ_3B6vWtA,Enjoy The Mountain,93105,34.4143420056,-119.6873324599,4.5,48.0,1
rCoWa-C7Os51GjFkCnFlVw,Rite Aid,08043,39.852159,-74.98264,4.5,6.0,1
Dtuf4vD0znzwJW9vk3iTNw,Tomo Japanese Steakhouse and Sushi Bar,46240,39.8887246,-86.1212129,4.0,246.0,1
8c0r7olQSYGcws0bTd3ikw,Zesty Tsunami,34653,28.2502179787,-82.6824409515,4.0,5.0,0
QU-X2Pijwd4SitfYXoZWMQ,Mason's Tree Service,19380,39.9606643,-75.6054882,3.0,9.0,1
Ucl9Vo5lwrUmYbV8Dv8X5g,O'Briens Irish Pub,33618,28.09236,-82.500588,4.0,108.0,1
cSeA6pC9JUlGfz-RNfvnGw,Midwest RV Center,63129,38.4641559029,-90.3716691032,4.0,33.0,1
WdrpkH-q7FQY5nclmPfoDQ,"Daniel Colombo , MD",89521,39.4289221,-119.754142,4.0,7.0,1
xF9r1XbMvEOsJeHlmFhIvw,Weddings in Santa Barbara,93109,34.3982982,-119.725931,5.0,13.0,1
6BF3eaIzHtoNHSxKTFnTyg,Mister B's Cigar Box,46123,39.7627741475,-86.3793863588,3.5,13.0,1
wjyUxHxkrvUvCOVqy4g_wg,Oscar's Cafe,63121,38.704765,-90.299811,4.0,11.0,0
do6EpBc7ZUoaqdzuUuGFXA,Jim's Auto Detailing,19087,40.0475203,-75.4091453,4.5,8.0,1
4IcB3QyMEA85UTWFKh9O9A,Eat Mah Taco @ Pal's Lounge,70119,29.976762,-90.086423,4.5,8.0,0
_mf0QKI1Jlk8zRinr-56FA,Jaguar Nashville,37027,36.0360616142,-86.7973280942,5.0,10.0,1
h_3oLlQ_CFohwlzsrSZ6xQ,The Waxing Queen Of Tucson,85716,32.2218494,-110.92845,4.5,17.0,1
Y6heWJJ9AmEL58fZwgi9YQ,Rosati's Pizza,85741,32.3387235226,-111.0303098651,4.0,58.0,1
