business_id,neg_reviews,pos_reviews
-jkoDJwgzOu3uiVIT6FGMw,0,7
-jlQofD5Qu3F4gpNHLsrOw,0,21
-jo0DZIkxfXuvcWxJP5VeA,35,7
-jsmtvdoUI-GJRSklYmEuA,482,67
-kYESienondGaj9TFadkUg,24,92
-k_hvQP4_HeLBZE5dNT58w,23,10
-kj25Cnn3llfSjY7IPAI1g,6,59
-kkTGq3thk1YwgSBpzjDIg,2,7
-kzNKaCPg4l3i0fWg8jt3w,5,1
-l-Ba4L63ZoX4L46zVd87Q,1,7
-lT5o2BF6ZvSsh8PvpVOgQ,12,42
-lVEVi3vtQ8_L9kKT0bBwQ,27,104
-ljWGhdLY4QD8y8h3R-rJA,13,37
-loV4cB2Uh9TCltTRgGzWQ,73,313
-m2ucc0kb_S1-Y4J149AQw,12,24
-m5hPzdpc3RHq9MmuP3WRw,4,12
-mAM3RZQ7rU098iOEvXLNQ,3,24
-mBc7M9Q3fEIxuUxwOleZg,23,47
-mUs8_hwjJvJu9vM-IdEsg,0,6
-mVpEeb0zGMv81_IWoXT5g,92,13
-mc0GB26tKLQhxKpuR3xUw,0,9
-mnaArjieYr-VlVEHXb40g,0,6
-mxgEmVaB0Izs2-qaWJZ1A,4,1
-nB0-VsZ9WVFQvpePZ5ZIQ,6,4
-nEqIKUP2ykB7rSIhHdxRQ,0,7
-nb8_qHFjnYgQAYbkZ_yDw,2,17
-nevBq_Pb678f_r8w8UhtQ,0,8
-nk14DuVMog4IeCPNF1JpA,21,15
-nkdsrNAQoHEve7j_k-_qg,12,30
-nro7PmIobE1wl-nkuK_jg,1,7
-oJLrjktukLSGZf8mb0wDw,1,6
-oLUNNkVi0Wdikuc4LlQ_Q,3,12
-ofyXPJTwkWZLucFwhl83g,3,4
-ol1560JbWGTSu6VjgsW_g,4,4
-ols5tgh9GslgqmFvTOsDw,1,9
-omEZeNVyDMNe5OLFetDgQ,0,15
-p6IdEBEXVkr1c0QCt2z_w,11,20
-pG0lFsAIGbNsBzi1L_Htg,0,6
-pM6ok2VQDBwoRFlh3_-lA,0,9
-q8Dnex7CtMFkg04gDd09A,1,4
-qAsm0KkOERjvIMUynPTtA,5,57
-qEk9byAfXQvKNVK1tCitw,16,9
-qLZigxir60lX8_8BrKLow,19,8
-qXlrp191oly3g2hMvdZZw,6,35
-qZ3GVQpEa02BXg1ehzaMQ,12,3
-qk_J5-zZsHqadhdlzy9jw,2,6
-qpKCQ7Ep_2CwPmcelz8Qg,13,22
-qtbbMVJ7L6QpGlhXQBg7w,3,3
-qtgI1xDDSqxtTtPn3ERHw,55,107
-qyzTT2NndkDNhDYBIBtXQ,20,15
-r3NgzSEUuVjV9PLI-2ssQ,25,22
-rKaikuKBl1BwDPNJOn_qA,26,34
-rON1W7KuQz_WEpnOMF4ww,29,4
-rVeTFLcXZkE7HlaNXwFxA,13,75
-rWikttEizklImo8dAV_UA,2,8
-rYYbv1TO2d02g8Rhs9F1w,25,12
-rf-o_H-3_6XUrSxOLRcpg,13,19
-rpI6XyHt76wV5g-mgibTg,64,12
-rtqCmv1nlpjWhapgvSTQw,2,11
-s2v3VWz1J1TvZOHbyuNvA,4,7
-s6dn5Rbntfby7uPEDlDSA,4,2
-s8cHUa89WF4A5JWZtAAhQ,2,7
-s_ovV4hkwgfRdjEp0ZXMQ,4,1
-slU7xAdWHa8y3v6wP4CxA,4,33
-snRtdHxPbQXyB-JtQkfag,1,4
-szKfKCoII2V2oRQ7-glDQ,74,29
-t6wkqZmDiF6JJzccA1bbA,2,5
-tEi9mbHWoquuR5Iikk1qw,0,5
-tLHZKUVJfPw-Xe-2CV6ZA,1,4
-tLtZ4IF5KisxLRRo_gVTw,5,1
-tOcNlAX3NMF9r2XlhZ6gQ,21,23
-u9523bLbT89kwGPAD_A4A,19,11
-uAXBDajcvIe-IsLWP72WA,8,14
-uH_A0CIUlOdAhGgCkpd1A,14,34
-uIz18anCm62WTR2K2ptfQ,11,61
-uJKVVZtOIpFKcFmm3i9uw,3,6
-uNRP-CLIc7VRXaPn_BBCg,10,5
-uOnV5OZsqfb4ZZdhJ7_qQ,2,11
-uPvL8kLaSzG-KxkSKL6RA,1,4
-umIzowSjA0rAuxxB-5rJw,2,8
-urxhzobcJtOpgFAyaEIpA,24,5
-uueE7987oqW-6OdTEqaLQ,0,11
-uuuRZnFxHa49qahxSjnCA,0,10
-v22Vz1chVp8VL4pnSj5RA,7,4
-vB-ZzO1wuPaNhUExK56qQ,5,5
-vfDiAg6COJac0u7U7O6Yg,1,4
-vqqACran4P5N7EIcRZSGw,2,6
-vsYCPDkS3AT_ZtcjWcjig,10,32
-vw0HilUkEEb_VDK8jv6hQ,1,5
-w6v6xauapvUMhKf1kyjFQ,7,29
-wkOhZwDDduWJAFVcBQ0bw,2,14
-wkXI95IPxvIJhq2kaeskA,3,8
-wqQ7XsE_eWlMfNeSzS19w,0,7
-xCLfmAg89uz-XrYCakJ4A,37,6
-xMtz9YGBp4aSDsr8rHtQQ,7,1
-xV3NqnUWuHO7UB9ia5cYw,2,12
-xaY1TlMf20Ol9QLcDSU6Q,167,534
-xd2u9BsEOy-CVKopm4VWw,5,10
-xgmh7w82mp61c9ZGYEi5A,1,14
-xwIWLSEIUUsoJlvNZ2Kpw,7,2
-xzkqW1y4L9PTAPJjJu3yQ,7,16
-y-ZAPuuUN6cbQtFoqiPFw,12,29
-y14N79fbXQCn1C5L_0gCA,9,17
-y9SJ2UBHqcekg7AnvGOpA,2,32
-yA8WOM8oYYmEIwYC2JeWQ,17,3
-yAP_G_7eikRsdGp3nm-kg,37,25
-yAUuuXOO-_-kacgsyO9Kw,20,0
-yCrdNTk4RzUax2FJusa5g,9,6
-yFbTwzGllU3kHfRmJWO0A,3,7
-yVaPGptpzDf0PyfveCXew,0,17
-yjeVS1Z2ebMigkEd9jnfQ,2,13
-ymffdKa-pkGZa8sDDjSig,13,220
-z488XvNmHIn3yv-3N13oA,14,9
-zsvmEbkd-K9K2DAAKqiEQ,124,483
-ztdG-hhxduK5Cgk6gTTgg,28,198
0-3NcAbA1zeChqWeH454Ng,7,8
0-JRAY0LpBazDuA9761U5w,79,244
0-M3vGd6IveJh77-Bwc8EQ,105,133
0-NDECPSrXA06Iy4FjDHdA,7,4
0-WQ2go-0KyUZg8b4bpogQ,7,11
0-XYsSxJhu8ayKx1f3v_tA,5,14
0-fLP_m4do0gB3n0_miQUw,3,4
0-l1nKLNgCfY583tezCZsA,0,6
0-pY7oEuTT6j9fa1k-YBnw,43,275
008e7URntGcMNrQfMdoVvA,1,7
00AGVWzkxNLGb-7ZrwAOIA,31,47
00KoTr1hfaPxcLFAYKewWA,11,8
00T00eTjLYFhIui9P-ilLQ,1,8
00c8pf4wMH72fpkcRvWzAw,4,3
00szsg8vQy6yX5f-m9sI4A,11,26
00vHxQtHAIf7FnjGZuepfg,3,51
01Vnpln40zgSK6H6pAcd5Q,37,47
01pmVUeVeXKtxdnLcQrUOg,5,23
02HdjzKf7pUujFqYIvKiFg,76,173
02RE6PT0pJZqLV-tU6YDoA,0,8
02hcFGJ4KqUHd4bkq7giHQ,1,8
02jpb-fvph4csD9l_j3L0Q,1,8
036_95rJbB7PvCHfkCL6Nw,113,90
03K9F1xumPgdRiohRrXyfw,4,4
03QAwxDlWxMxuQJDvmHdxA,0,8
03jrpu27Rb8wA8rK-gLafQ,57,9
04Itzpsew47i9UJ3u9aZGA,13,15
04WeiTVNEnhMa4Ty5bpfZA,1,12
04afgn7xOSClaQrNd7ybtA,6,7
04cRqYZ2LnmD4dO1M0BM1g,4,1
04l8PYcuYQeEkEhJCbhtOA,102,693
04xrchNjk0FnrNgHAZlrzQ,4,1
058XD926oZ8d3j2XRxHMIg,1,5
059fmQtYFQv3-hINwfpGsw,18,41
05GLPgaqx5y4H9dBU6CP2w,58,153
05J_7mQg7dPuaSB_BBYEOQ,1,47
05pmH0GnLJagn8Ea_OuJ-g,5,30
05qVGl0KbrzU9gbTpulf4Q,2,3
06DZqx_jgmnEPFGnEFy_Rg,8,8
06EMsFBgKMdB6htNF4a_mg,2,21
06Y1ET8OdrUndhZL9bxw0g,20,18
06ZYW6QE-5dHmZGyNrTiAQ,3,10
0708gy7o-RRTV_Pxxp9faQ,7,3
07_mrlo8NL4mxsGC8QNY6Q,0,10
07aTaXwU-XBSP4jv4s2pKQ,3,3
07fKp-dzkUoY9xK6isS8Xw,17,1
07lLN2P7sRY8bnG67FKdYQ,5,0
07uojIeVeauFxa7yOc2pgw,3,3
082Z772_Ig8SXp9DibYCAA,20,16
085BE1LGQVyuHEsr5AeROQ,15,38
08PSz_3jOGGILaH5WsnFCw,5,4
08k4NrsUfGyjmir9NMO8Mw,1,5
08mW6JldYBCHYYvxNHX5XA,12,4
08usRklAHIuY389BUKK5uA,2,4
08z7zyu59SwDAHcbxLSIfw,6,3
09ErfxJM1X49rlnuRMSbDw,1,8
09MbQUOI4TQjw7N_rT4qqQ,0,9
09bJxduX5ZCiQVbCCGMYzw,31,5
09eFzvizdEQlEBvitKMhmg,11,27
09izIShLukoy36bBOWfKAg,22,50
09nu102ePMeuThC1Xi_TPQ,11,0
09uLsAhgFJEPJl2dZHX2HA,2,9
09za1h1fdeF9rTSviTV3zg,25,52
0AOrqAn9-XzRqBwAViJfsw,1,17
0AS0Ru_5pg_4FgvFBWXOYw,19,0
0A_TxKByQxEbQNr_0tpHbw,4,3
0Ae7F98kmeA01VJCIdD8vw,12,82
0AeN817111mzdIjl9qtVww,8,4
0Af9sUapLgGd_lTjw06B5w,5,2
0AgwjiluvSLEkpHNJe1EHg,27,62
0B0L4P5YGgbNeb7Koyez9A,3,3
0B6JY3Ky8iB52-rPooB2Tw,26,41
0BHMsgLMRSglN0Q8K9uU-w,5,1
0BMb_vELxCCH_kJz3cVjdw,0,23
0BTyvVxvayjOX6y10qIvtA,7,25
0Be80e7-tyW0UDQ6rhVkNA,0,6
0Bn9pMb_qcBO5mZYa3QAEA,20,96
0BpWIW3tG-DgbXQKN3wOpw,4,1
0C1Ux9EjTz7WHtmSHph0RA,5,2
0C3NaF1s1N2rxy66qAJTHA,0,10
0C3ucRygW0uSHfqFENa2zA,4,11
0CEUpFtaKhxbmrbSdP9MUQ,25,55
0CQKkD-a3jFWA4l7n52jxA,5,9
0CekZnAtUUuyKtT6pFwpXA,1,5
0CrEQpPKHfmjVodZeyL7IA,55,219
0Cv_TsIx8EJGfKE1RC9OmA,1,6
0DPQukWX45rqOIfDV40e3g,5,7
0DU-0OLI449AV1Rls3WQyw,1,12
0Dw5cikYionDC-RKLxY2Aw,1,22
0E-dYP3hTrtgFDGRyBbOwA,3,37
0E9eF5Oh-kd4xCcCs4CX6g,8,7
0EC5H_druND4ijqiSD0zEw,1,16
0EEwORVVpNXCZAoOGNsmZw,7,21
0EH0WBJSqVvu0vyVUM2zBQ,1,30
0EYptIjdWCC41e03GBWwOA,2,11
0Eo2G-mi77CCamq7HhaNyw,0,5
0EpCmB1qbtH6Xh1RgBnQaQ,9,21
0Eq2DHfzH7UunnL4SwOhGQ,3,6
0F51MlmDY7R-pf-eagWvWQ,0,5
0FRp8znYZ_-8PNYFtMvleA,4,16
0FeB1QZL62iwe1pXPam3Ug,0,8
0FsYHx6mnD0rx4IeRAgROg,14,30
0FzbiQyBnFnH1OkMol_mgQ,2,7
